2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:24 status half-configured apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:29 status installed apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:29 configure containerd:arm64 1.6.12-0ubuntu1~18.04.1 <none>
2023-08-31 15:21:29 status unpacked containerd:arm64 1.6.12-0ubuntu1~18.04.1
2023-08-31 15:21:29 status half-configured containerd:arm64 1.6.12-0ubuntu1~18.04.1
2023-08-31 15:21:35 status installed containerd:arm64 1.6.12-0ubuntu1~18.04.1
2023-08-31 15:21:35 configure bridge-utils:arm64 1.5-15ubuntu1 <none>
2023-08-31 15:21:35 status unpacked bridge-utils:arm64 1.5-15ubuntu1
2023-08-31 15:21:35 status unpacked bridge-utils:arm64 1.5-15ubuntu1
2023-08-31 15:21:35 status half-configured bridge-utils:arm64 1.5-15ubuntu1
2023-08-31 15:21:36 status installed bridge-utils:arm64 1.5-15ubuntu1
2023-08-31 15:21:36 configure ubuntu-fan:all 0.12.10 <none>
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:36 status half-configured ubuntu-fan:all 0.12.10
2023-08-31 15:21:40 status installed ubuntu-fan:all 0.12.10
2023-08-31 15:21:40 configure netcat:all 1.10-41.1 <none>
2023-08-31 15:21:40 status unpacked netcat:all 1.10-41.1
2023-08-31 15:21:40 status half-configured netcat:all 1.10-41.1
2023-08-31 15:21:40 status installed netcat:all 1.10-41.1
2023-08-31 15:21:40 configure pigz:arm64 2.4-1 <none>
2023-08-31 15:21:40 status unpacked pigz:arm64 2.4-1
2023-08-31 15:21:40 status half-configured pigz:arm64 2.4-1
2023-08-31 15:21:40 status installed pigz:arm64 2.4-1
2023-08-31 15:21:40 configure docker.io:arm64 20.10.21-0ubuntu1~18.04.3 <none>
2023-08-31 15:21:40 status unpacked docker.io:arm64 20.10.21-0ubuntu1~18.04.3
2023-08-31 15:21:40 status half-configured docker.io:arm64 20.10.21-0ubuntu1~18.04.3
2023-08-31 15:22:13 status installed docker.io:arm64 20.10.21-0ubuntu1~18.04.3
2023-08-31 15:22:13 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-08-31 15:22:13 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:22:15 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:22:15 trigproc systemd:arm64 237-3ubuntu10.48 <none>
2023-08-31 15:22:15 status half-configured systemd:arm64 237-3ubuntu10.48
2023-08-31 15:22:16 status installed systemd:arm64 237-3ubuntu10.48
2023-08-31 15:33:32 startup packages remove
2023-08-31 15:33:32 status installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:33:37 remove unattended-upgrades:all 1.1ubuntu1.18.04.14 <none>
2023-08-31 15:33:37 status half-configured unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:33:37 status half-installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:33:37 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:33:40 status config-files unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:33:40 status config-files unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:33:41 startup packages configure
2023-08-31 15:33:41 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-08-31 15:33:41 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:33:42 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:37:12 startup archives unpack
2023-08-31 15:37:16 install unattended-upgrades:all 1.1ubuntu1.18.04.14 1.1ubuntu1.18.04.14
2023-08-31 15:37:16 status half-installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:16 status triggers-pending systemd:arm64 237-3ubuntu10.48
2023-08-31 15:37:17 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:37:18 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:18 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:18 startup packages configure
2023-08-31 15:37:18 configure unattended-upgrades:all 1.1ubuntu1.18.04.14 <none>
2023-08-31 15:37:18 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:18 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:18 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:19 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:19 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:19 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:19 status half-configured unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:26 status installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:37:26 trigproc systemd:arm64 237-3ubuntu10.48 <none>
2023-08-31 15:37:26 status half-configured systemd:arm64 237-3ubuntu10.48
2023-08-31 15:37:27 status installed systemd:arm64 237-3ubuntu10.48
2023-08-31 15:37:27 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-08-31 15:37:27 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:37:27 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:38:20 startup packages remove
2023-08-31 15:38:20 status installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:38:24 remove unattended-upgrades:all 1.1ubuntu1.18.04.14 <none>
2023-08-31 15:38:24 status half-configured unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:38:25 status half-installed unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:38:25 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:38:27 status config-files unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:38:27 status config-files unattended-upgrades:all 1.1ubuntu1.18.04.14
2023-08-31 15:38:28 startup packages configure
2023-08-31 15:38:28 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-08-31 15:38:28 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-08-31 15:38:29 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-09-02 12:08:56 startup archives unpack
2023-09-02 12:08:56 install libisccfg-export160:arm64 <none> 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:56 status triggers-pending libc-bin:arm64 2.27-3ubuntu1.4
2023-09-02 12:08:56 status half-installed libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status unpacked libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status unpacked libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 install libirs-export160:arm64 <none> 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status half-installed libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status unpacked libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status unpacked libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 install isc-dhcp-server:arm64 <none> 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status half-installed isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status triggers-pending systemd:arm64 237-3ubuntu10.48
2023-09-02 12:08:57 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 startup packages configure
2023-09-02 12:08:57 configure libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18 <none>
2023-09-02 12:08:57 status unpacked libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status half-configured libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status installed libisccfg-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 configure libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18 <none>
2023-09-02 12:08:57 status unpacked libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status half-configured libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 status installed libirs-export160:arm64 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:08:57 configure isc-dhcp-server:arm64 4.3.5-3ubuntu7.4 <none>
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status unpacked isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:08:57 status half-configured isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:09:04 status installed isc-dhcp-server:arm64 4.3.5-3ubuntu7.4
2023-09-02 12:09:04 trigproc systemd:arm64 237-3ubuntu10.48 <none>
2023-09-02 12:09:04 status half-configured systemd:arm64 237-3ubuntu10.48
2023-09-02 12:09:04 status installed systemd:arm64 237-3ubuntu10.48
2023-09-02 12:09:04 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-09-02 12:09:04 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-09-02 12:09:04 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-09-02 12:09:04 trigproc libc-bin:arm64 2.27-3ubuntu1.4 <none>
2023-09-02 12:09:04 status half-configured libc-bin:arm64 2.27-3ubuntu1.4
2023-09-02 12:09:05 status installed libc-bin:arm64 2.27-3ubuntu1.4
2023-09-02 12:11:52 startup archives unpack
2023-09-02 12:11:52 upgrade bind9-host:arm64 1:9.11.3+dfsg-1ubuntu1.15 1:9.11.3+dfsg-1ubuntu1.18
2023-09-02 12:11:52 status half-configured bind9-host:arm64 1:9.11.3+dfsg-1ubuntu1.15
